25,3	21,22
25,5	21,22
25,7	21,22
25,9	21,16
26,1	21,195
26,3	21,17
26,5	21,2
26,7	21,225
26,9	21,19
27,1	21,225
27,3	21,17
27,5	21,19
27,7	21,205
27,9	21,18
28,1	21,22
28,3	21,225
28,5	21,185
28,7	21,2
28,9	21,23
29,1	21,175
29,3	21,225
29,5	21,215
29,7	21,23
29,9	21,21
30,1	21,185
30,3	21,175
30,5	21,175
30,7	21,22
30,9	21,23
31,1	21,2
31,3	21,2
31,5	21,22
31,7	21,185
31,9	21,24
32,1	21,215
32,3	21,215
32,5	21,155
32,7	21,24
32,9	21,19
33,1	21,215
33,3	21,2
33,5	21,175
33,7	21,2
33,9	21,22
34,1	21,205
34,3	21,225
34,5	21,225
34,7	21,265
34,9	21,2
35,1	21,175
35,3	21,23
35,5	21,23
35,7	21,21
35,9	21,165
36,1	21,23
36,3	21,245
36,5	21,155
36,7	21,235
36,9	21,205
37,1	21,21
37,3	21,21
37,5	21,225
37,7	21,23
37,9	21,165
38,1	21,205
38,3	21,24
38,5	21,205
38,7	21,195
38,9	21,195
39,1	21,145
39,3	21,19
39,5	21,195
39,7	21,14
39,9	21,2
40,1	21,19
40,3	21,21
40,5	21,22
40,7	21,215
40,9	21,27
41,1	21,19
41,3	21,21
41,5	21,225
41,7	21,205
41,9	21,225
42,1	21,2
42,3	21,195
42,5	21,205
42,7	21,155
42,9	21,22
43,1	21,155
43,3	21,205
43,5	21,19
43,7	21,17
43,9	21,24
44,1	21,175
44,3	21,22
44,5	21,225
44,7	21,225
44,9	21,185
45,1	21,16
45,3	21,16
45,5	21,18
45,7	21,195
45,9	21,155
46,1	21,195
46,3	21,225
46,5	21,22
46,7	21,24
46,9	21,235
47,1	21,22
47,3	21,23
47,5	21,185
47,7	21,15
47,9	21,195
48,1	21,18
48,3	21,185
48,5	21,17
48,7	21,165
48,9	21,22
49,1	21,22
49,3	21,22
49,5	21,215
49,7	21,225
49,9	21,22
50,1	21,195
50,3	21,175
50,5	21,185
50,7	21,235
50,9	21,215
51,1	21,22
51,3	21,195
51,5	21,2
51,7	21,22
51,9	21,2
52,1	21,195
52,3	21,22
52,5	21,15
52,7	21,2
52,9	21,245
53,1	21,165
53,3	21,21
53,5	21,205
53,7	21,205
53,9	21,235
54,1	21,255
54,3	21,215
54,5	21,135
54,7	21,22
54,9	21,22
55,1	21,215
55,3	21,205
55,5	21,25
55,7	21,21
55,9	21,2
56,1	21,22
56,3	21,22
56,5	21,195
56,7	21,165
56,9	21,22
57,1	21,195
57,3	21,17
57,5	21,215
57,7	21,14
57,9	21,195
58,1	21,2
58,3	21,2
58,5	21,205
58,7	21,145
58,9	21,225
59,1	21,195
59,3	21,2
59,5	21,195
59,7	21,18
59,9	21,19
60,1	21,18
60,3	21,18
60,5	21,175
60,7	21,155
60,9	21,19
61,1	21,205
61,3	21,19
61,5	21,2
61,7	21,145
61,9	21,185
62,1	21,19
62,3	21,215
62,5	21,175
62,7	21,185
62,9	21,19
63,1	21,22
63,3	21,19
63,5	21,14
63,7	21,165
63,9	21,2
64,1	21,2
64,3	21,19
64,5	21,16
64,7	21,155
64,9	21,22
65,1	21,175
65,3	21,185
65,5	21,19
65,7	21,24
65,9	21,175
66,1	21,19
66,3	21,14
66,5	21,155
66,7	21,185
66,9	21,185
67,1	21,215
67,3	21,195
67,5	21,16
67,7	21,195
67,9	21,145
68,1	21,175
68,3	21,185
68,5	21,22
68,7	21,2
68,9	21,19
69,1	21,22
69,3	21,22
69,5	21,2
69,7	21,185
69,9	21,205
70,1	21,18
70,3	21,175
70,5	21,215
70,7	21,17
70,9	21,205
71,1	21,22
71,3	21,2
71,5	21,18
71,7	21,16
71,9	21,18
72,1	21,225
72,3	21,185
72,5	21,215
72,7	21,225
72,9	21,19
73,1	21,215
73,3	21,16
73,5	21,185
73,7	21,19
73,9	21,205
74,1	21,22
74,3	21,215
74,5	21,185
74,7	21,22
74,9	21,215
75,1	21,22
75,3	21,15
75,5	21,22
75,7	21,155
75,9	21,165
76,1	21,145
76,3	21,2
76,5	21,195
76,7	21,17
76,9	21,145
77,1	21,22
77,3	21,22
77,5	21,22
77,7	21,14
77,9	21,145
78,1	21,17
78,3	21,22
78,5	21,19
78,7	21,22
78,9	21,185
79,1	21,22
79,3	21,145
79,5	21,22
79,7	21,18
79,9	21,205
80,1	21,19
80,3	21,2
80,5	21,225
80,7	21,195
80,9	21,215
81,1	21,245
81,3	21,17
81,5	21,22
81,7	21,135
81,9	21,215
82,1	21,215
82,3	21,22
82,5	21,215
82,7	21,22
82,9	21,255
83,1	21,22
83,3	21,17
83,5	21,195
83,7	21,235
83,9	21,18
84,1	21,17
84,3	21,16
84,5	21,215
84,7	21,15
84,9	21,22
85,1	21,205
85,3	21,215
85,5	21,19
85,7	21,2
85,9	21,18
86,1	21,16
86,3	21,16
86,5	21,145
86,7	21,21
86,9	21,22
87,1	21,165
87,3	21,215
87,5	21,18
87,7	21,165
87,9	21,145
88,1	21,155
88,3	21,16
88,5	21,17
88,7	21,2
88,9	21,165
89,1	21,22
89,3	21,215
89,5	21,175
89,7	21,145
89,9	21,22
90,1	21,145
90,3	21,19
90,5	21,2
90,7	21,22
90,9	21,2
91,1	21,24
91,3	21,215
91,5	21,185
91,7	21,19
91,9	21,22
92,1	21,215
92,3	21,185
92,5	21,195
92,7	21,185
92,9	21,13
93,1	21,195
93,3	21,22
93,5	21,16
93,7	21,185
93,9	21,175
94,1	21,205
94,3	21,14
94,5	21,165
94,7	21,2
94,9	21,185
95,1	21,145
95,3	21,24
95,5	21,17
95,7	21,205
95,9	21,185
96,1	21,18
96,3	21,135
96,5	21,17
96,7	21,17
96,9	21,195
97,1	21,185
97,3	21,2
97,5	21,16
97,7	21,18
97,9	21,22
98,1	21,195
98,3	21,17
98,5	21,22
98,7	21,2
98,9	21,175
99,1	21,165
99,3	21,21
99,5	21,145
99,7	21,155
99,9	21,16
100,1	21,185
100,3	21,22
100,5	21,155
100,7	21,17
100,9	21,195
101,1	21,165
101,3	21,22
101,5	21,16
101,7	21,225
101,9	21,22
102,1	21,2
102,3	21,175
102,5	21,185
102,7	21,195
102,9	21,16
103,1	21,175
103,3	21,19
103,5	21,18
103,7	21,16
103,9	21,19
104,1	21,19
104,3	21,2
104,5	21,215
104,7	21,16
104,9	21,17
105,1	21,145
105,3	21,22
105,5	21,175
105,7	21,21
105,9	21,16
106,1	21,195
106,3	21,105
106,5	21,185
106,7	21,21
106,9	21,195
107,1	21,16
107,3	21,19
107,5	21,215
107,7	21,16
